Trial #,tau_boost,z_offset,amp_push,push_ratio,swing_time,Distance (cm),Score
1,9.45718469834972,0.3497345446583586,0.5877304664069323,0.549164226892993,0.5005711989746215,210.0,-210.0
2,10.825718268548576,0.10910275883712434,0.4928116494858431,0.8951301480009989,0.583387536287297,Failed,1000.0
3,9.660556924188972,0.2405291031063109,0.7488519501499051,0.6648130671087132,0.5304201094810382,197.0,-197.0
4,9.782824362190741,0.3978796400514344,0.7996448001291352,0.878136663448077,0.9431009234698882,176.0,-176.0
5,10.36868428794812,0.3870323066424301,0.4282918599148276,0.8906589503816104,0.7769654119894203,114.0,-114.0
6,9.681124248773294,0.3407105195800301,0.400452128224023,0.7313241706415112,0.5808946833724665,126.0,-126.0
7,9.872190314734702,0.13188722796802804,0.40655379794175606,0.6566830353869444,1.2137497654989164,119.0,-119.0
8,9.913182158604892,0.2502845915896811,0.6417630281469714,0.6327284875987931,0.8918193345635741,309.0,-309.0
9,9.980811484929252,0.30938496790089687,0.7447538732226612,0.7113213419864965,0.9336066060643103,285.0,-285.0
10,8.451743242323335,0.3413906793732068,0.7647779370486159,0.5205668094667533,0.9024691998293962,243.0,-243.0
11,10.003933749311589,0.36052239148921905,0.4465560743213962,0.5668079272528732,0.8977857314155215,195.0,-195.0
12,8.596279341346591,0.18572131313738144,0.5913990835181759,0.518894240435649,0.5016757697277054,323.0,-323.0
13,9.772864399279666,0.3871534413311232,0.6551657009513837,0.5286147942741913,0.740729891859332,226.0,-226.0
14,10.162396008834994,0.24813061352946467,0.6546065027771258,0.5168138122998711,0.980041236736964,235.0,-235.0
15,10.433227064762683,0.21592448226772656,0.4007214099138888,0.7338535424225405,0.8334601560064716,199.0,-199.0
16,10.367115431268305,0.19469357268551635,0.538817897549893,0.7177581175069452,1.139899622246431,181.0,-181.0
17,8.953388667573073,0.3616641010528924,0.41493523343123373,0.5362164811457055,0.7196655842147764,128.0,-128.0
18,8.580816555220675,0.10416403884003629,0.5619650751916009,0.777574272809625,0.8058622269379709,14.0,-14.0
19,9.01992011071499,0.2979272279584928,0.429533262660568,0.6427005298199439,0.788451821112612,199.0,-199.0
20,9.309586725317917,0.26951016448080245,0.6010688445545763,0.6686585807368177,1.321380552565808,238.0,-238.0
21,8.574074401339995,0.22061978602757754,0.45302664302527107,0.6986381240437908,0.6325237114847253,226.0,-226.0
22,9.801617816148116,0.25698635502266765,0.7517628910724778,0.825326976146343,0.7994402977925892,125.0,-125.0
23,8.206208080977422,0.19814037121736455,0.7931667986683696,0.5850644039801131,0.5857601768352445,293.0,-293.0
24,9.767390185391445,0.2567748174174605,0.41063933177743217,0.8697470338265119,0.5003243646775178,122.0,-122.0
25,7.678814394223677,0.17576347916106258,0.7734113446878228,0.5084725258187301,1.3024697053506398,233.0,-233.0
26,9.19996895217308,0.25707657275378604,0.5839519080081678,0.6080018847598433,1.0439037300941272,251.0,-251.0
27,7.983537769838871,0.2900183298591526,0.7993940961151903,0.5783590869004118,0.8386007325833553,265.0,-265.0
28,9.3907177578169,0.13554119123688915,0.6823132835085944,0.5194849987798519,0.954869369547116,215.0,-215.0
29,8.408338377154406,0.24342449390072296,0.593771597230455,0.5002422342093045,1.0929220384488785,223.0,-223.0
30,8.616540015122874,0.20910069130424533,0.49407326006918445,0.5073917523057929,0.8783073463111183,207.0,-207.0
31,8.70513491352149,0.305519716647276,0.5691150325421822,0.8883479766495641,0.8115739045001208,122.0,-122.0
32,9.056573307033972,0.21414733035938435,0.7530913811482154,0.665390795292317,1.361710094111724,213.0,-213.0
33,7.694659071133374,0.2468984947075557,0.6890219016029598,0.5843005784990203,1.1990797308880654,258.0,-258.0
34,8.548321405798859,0.21236770757119713,0.6911269414495187,0.5433443127163881,0.6078034757324273,308.0,-308.0
35,7.8529843505361,0.3196135347473369,0.7264438646875107,0.5002853876460243,0.831259034683702,215.0,-215.0
36,8.17055949311029,0.1426799618202802,0.7998873331934739,0.6174606625761577,0.712591967283236,239.0,-239.0
37,9.23419667165933,0.1896810185595994,0.7542564933308128,0.528027376706704,1.4902713414874726,180.0,-180.0
38,7.819780117849033,0.3996499077358027,0.7380121107703419,0.537583517759815,0.7716109542063074,210.0,-210.0
39,8.197593679642644,0.252688929857681,0.7721634374865465,0.5815157531452728,1.0986718798953081,264.0,-264.0
40,8.489709911945292,0.3844663909753576,0.6855858407898261,0.5549622964303986,1.0093634172688326,231.0,-231.0
41,8.143115982052803,0.1655572751188029,0.49300443579749187,0.6015332069057688,0.5878944667733481,270.0,-270.0
42,8.220079079219587,0.25288072062918554,0.78848695071649,0.517264082803427,1.1279660054158607,245.0,-245.0
43,8.75786458231472,0.28326414377273984,0.7999449724047293,0.5000247087373663,0.6214922965601836,279.0,-279.0
44,7.993173717249937,0.3018842379969884,0.7614543012726038,0.5099022492917836,0.6270275129322975,248.0,-248.0
45,7.91048852352267,0.13188804947716962,0.7972653849229544,0.5030023847535742,1.3669025448776704,186.0,-186.0
46,8.747850643721234,0.19782011614079315,0.7507894017795591,0.5013069824623092,1.3081669751948095,216.0,-216.0
47,8.11504379577288,0.12337163917566767,0.7764082144840514,0.5715972886904769,0.9470084085464743,261.0,-261.0
48,8.262576620940608,0.20976651512317232,0.6871316860913566,0.6003033068870369,0.6858911356473744,314.0,-314.0
49,8.015597538988391,0.24269197156254216,0.6696039655840218,0.5831340503919509,0.7780674788958437,252.0,-252.0
50,8.093192720173992,0.1177553309246904,0.47572491735480005,0.5329854532275937,0.7666416833748136,221.0,-221.0
