Trial #,tau_boost,z_offset,amp_push,push_ratio,swing_time,Distance (cm),Score
1,9.543205752430358,0.24711360001966964,0.4701732034128232,0.6121168032801145,1.2289657457378032,218.0,-218.0
2,10.385894065427697,0.16109666184413302,0.6116735113505983,0.8097292700277877,0.877527379078231,19.0,-19.0
3,9.978943450998374,0.2809883205154138,0.6002946595289199,0.8999145385177427,1.7004565239614862,105.0,-105.0
4,10.103936991563176,0.3026526878030872,0.40633087028374304,0.7974032081248884,0.7425728726612749,141.0,-141.0
5,10.08965154458537,0.22307109539768452,0.5304197628660543,0.8573207775896049,0.6011361112498248,23.0,-23.0
6,10.540794075585335,0.1672025570359258,0.44043710599649344,0.7948701347340313,0.610404966721019,68.0,-68.0
7,9.594201274526455,0.2820019992097449,0.681970785753564,0.652989449492071,1.3915192880057219,255.0,-255.0
8,9.372635366793732,0.2530881657365801,0.7561556119372115,0.8268537075273371,0.9137009905969345,126.0,-126.0
9,9.490164192698817,0.30691942928494487,0.555130410725713,0.7433667706706257,1.5204513481553819,173.0,-173.0
10,9.407069054847868,0.2469349239648828,0.5006154176108951,0.7177735241293405,0.917400532674824,221.0,-221.0
11,9.366738069308003,0.24538054500828216,0.6888637784386902,0.7902423290266423,0.5154875814595684,24.0,-24.0
12,9.780560735432854,0.29072567023643414,0.5884229206763291,0.7634354024486695,0.6878010937617023,212.0,-212.0
13,9.313941813732567,0.1434565777422896,0.47539946722034426,0.8498589944826864,1.2884140993662956,62.0,-62.0
14,9.138189989223306,0.1143495583913611,0.5886522502490011,0.6263104738622286,1.0382591717968048,192.0,-192.0
15,10.27491526612488,0.17427615126064788,0.40119060554990965,0.8861182490130053,1.9719811169968113,22.0,-22.0
16,9.599505712624048,0.24701936988815354,0.40099534716128443,0.6162762581615675,0.7614274477930215,208.0,-208.0
17,10.247930079613676,0.12041696898062029,0.47995963489600235,0.6621690383285207,1.4147152578651259,45.0,-45.0
18,9.7957760247182,0.20421186116470819,0.4686955277000472,0.5754604408537104,0.881213938203019,206.0,-206.0
19,9.625421190403298,0.25878447041792196,0.5010997382034398,0.6412311837538761,0.6365243786461469,230.0,-230.0
20,9.722795365663195,0.29704120958928587,0.4305027962113215,0.8810605443754508,1.004174700122151,118.0,-118.0
21,9.731712677009948,0.27625848126018154,0.4157357701411469,0.6016776597792471,1.0288235637404304,205.0,-205.0
22,9.373078623843291,0.31144712507896816,0.5092179882501254,0.5127664928430722,1.1450788388880988,224.0,-224.0
23,9.411183638230714,0.2921318353361065,0.4196055598251586,0.8022118302336713,0.6420115360248728,132.0,-132.0
24,9.50157033808016,0.20129084258147,0.51736732699724,0.7552198929158305,0.6314353255152584,190.0,-190.0
25,9.878127526191703,0.24539273762915234,0.406429468051556,0.7631587301378738,0.9423098649187099,190.0,-190.0
26,9.780057428476242,0.31833085310741077,0.5156764001557466,0.5104077137142902,1.0269017252892145,210.0,-210.0
27,9.433964807605111,0.26248392906449525,0.5069806592455787,0.6322804293232942,1.012897075922045,232.0,-232.0
28,9.522789801649683,0.2729166958194108,0.4005423911797895,0.6430047972214997,1.1070640090467134,200.0,-200.0
29,9.07482091360294,0.143953254567801,0.6438547528453681,0.7672585330053372,0.8350873300098542,43.0,-43.0
30,9.261523585185598,0.23007413927402415,0.477988023609457,0.5163556589118636,0.5817735958266501,213.0,-213.0
31,9.963937739209205,0.3786329570163595,0.49631007211906686,0.7578498773853749,0.6726711599417287,163.0,-163.0
32,9.35340606534594,0.3183896198595793,0.4945429366530884,0.6644204239906724,1.3539640940018915,232.0,-232.0
33,9.251470993050404,0.38262159785460537,0.6191274268435211,0.6352307075588359,1.1518781235561633,252.0,-252.0
34,9.012093040655465,0.2513416239741627,0.41288136486079363,0.5438194914943195,0.7571798028448795,196.0,-196.0
35,9.714898331852543,0.2655378031596631,0.5245531485393441,0.5693554481534364,1.3063923625440286,238.0,-238.0
36,9.578913237154195,0.2574684086235941,0.5770994655071748,0.5954286177275866,1.48644320758878,247.0,-247.0
37,9.42660371032457,0.24706214841883506,0.49235063546441193,0.6395486770390313,0.8509621692865424,232.0,-232.0
38,9.391680596636718,0.2672340474211064,0.49475994949141544,0.640272499825366,0.6955846963139822,235.0,-235.0
39,9.43500156462122,0.31302131111194265,0.6589950386798916,0.5887920169997648,0.976731916319219,269.0,-269.0
40,9.598476107155136,0.36004342815896595,0.43087231954242144,0.7913907037872212,1.437307877922449,145.0,-145.0
41,9.688124448449125,0.3272648397920903,0.6498220354399298,0.7663396736533862,0.9397567903199568,242.0,-242.0
42,9.48208600002482,0.34669226467078806,0.6375177535043107,0.67094279360153,1.1753375421616417,255.0,-255.0
43,9.63628592118284,0.32991036433804133,0.5580590906862135,0.5713952199578348,1.2038884700393986,248.0,-248.0
44,9.356372390701788,0.3116066074997506,0.6760753592524645,0.5477949019332038,1.078702167435942,270.0,-270.0
45,9.485339752805594,0.3317244884268314,0.719295779945491,0.6282597894634335,0.7825687644168722,286.0,-286.0
46,9.81756211400514,0.3669935772088144,0.7216097181741268,0.5281673755591718,0.9935170226109268,263.0,-263.0
47,9.297440409936756,0.35572179342074794,0.6896029795555407,0.6860035324714807,0.5083194684573982,218.0,-218.0
48,9.4707753859992,0.3673181164716369,0.7827572421070248,0.6569199140957971,1.0911946507308523,284.0,-284.0
49,9.59430135603199,0.37379434082060037,0.7107313065141201,0.6957673697835949,0.5234961187334529,221.0,-221.0
50,9.193556704131167,0.30593988773111086,0.742659968761609,0.5001525178271441,0.6989126745870068,246.0,-246.0
